#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
20.999999999996408	-2744.915676078817	11652.848559306702	8907.932883227884	302.76853298424163	33.51188949145201	0.7829787863611131	317
21.999999999994078	-2817.6963299954514	11228.083769922145	8410.387439926693	291.7321403382039	33.47572880015026	0.783824564935747	317
22.999999999991747	-2558.4991886687717	11579.431202710606	9020.932014041835	300.860976626751	33.69634052904449	0.7786928239304829	317
23.999999999989416	-2687.0438437499856	11462.214883597684	8775.171039847699	297.8154197572002	33.7822244054337	0.7767131686705747	316
24.999999999987086	-2671.8271729701914	11496.750188611448	8824.923015641256	298.7127285638807	33.237240641741316	0.7894487645804208	317
25.999999999984755	-2650.3911896143404	11250.580268152058	8600.189078537718	292.31665250548116	33.06479824699524	0.7935659660366841	317
26.999999999982425	-2775.4710033676974	11283.326628724113	8507.855625356417	293.16748030955966	33.0808913496939	0.7931799142083161	317
27.999999999980094	-2637.7092787206575	11460.02869617194	8822.319417451283	297.75861744346946	32.88908361638836	0.7978057056478797	317
28.999999999977764	-3025.042421056771	11299.506524794735	8274.464103737964	293.5878722310892	32.77869051287171	0.8004925807631371	317
29.999999999975433	-2838.416154254457	11542.647547343746	8704.231393089289	299.9052503666403	33.272170132742154	0.788619992564408	318
30.999999999973102	-2399.9553190888637	11360.295595169999	8960.340276081135	295.16731588088203	33.59389193646627	0.7810675408585872	318
31.999999999970772	-2809.582667670925	11104.061500500888	8294.478832829962	288.5097488020108	33.30852011096247	0.7877593623275099	317
32.99999999997554	-2861.540590945511	11204.456906283274	8342.916315337763	291.1182586073506	33.0754642505707	0.7933100610139461	317
33.99999999998032	-2596.9620963309235	11408.716952218674	8811.75485588775	296.4254171223184	33.51374281572243	0.7829354873003079	317
34.99999999998509	-2567.1080532362075	11599.267814429011	9032.159761192805	301.3763786590346	32.59676156462875	0.804960287562961	317
35.99999999998987	-2563.2240632322287	11311.796292087063	8748.572228854835	293.9071894173444	33.59123653117507	0.7811292846672399	318
36.99999999999464	-2580.2837443208637	11084.542685084976	8504.258940764114	288.00260386839324	33.20717606823402	0.7901635028756677	318
37.99999999999942	-2819.6566454498566	11611.228698152816	8791.572052702959	301.68715067326104	33.249415819301845	0.7891596864523736	318
39.00000000000419	-2835.752543424392	11551.749522272497	8715.996978848105	300.1417411767982	32.47295268302938	0.8080293411814563	318
40.00000000000897	-2454.376678578488	11296.377180299023	8842.000501720535	293.50656446866986	33.87312827479744	0.774628736673473	318
41.00000000001374	-2689.0604555942587	11453.099432561547	8764.038976967287	297.5785788059379	33.30664039984727	0.7878038207301495	318
42.00000000001852	-2920.4395880447914	11414.768271129578	8494.328683084786	296.5826446825968	33.224471283435136	0.7897521781111674	318
43.00000000002329	-2717.6763807798743	11541.69087547576	8824.014494695886	299.88039377157315	33.4468263848779	0.7845018914723745	318
44.000000000028066	-2471.936013366426	11541.654269009829	9069.718255643402	299.8794426491132	32.89043624794556	0.7977728955882673	318
45.00000000003284	-2801.948726381893	11174.365091145039	8372.416364763147	290.3364021644502	33.271164847532546	0.7886438206455154	318
46.000000000037616	-3107.287710538223	11335.622193790972	8228.33448325275	294.52624262731325	33.195708723762046	0.790436462165438	318
47.00000000004239	-2686.396259602403	11305.862696392462	8619.466436790059	293.7530205843219	32.98697178221166	0.7954382334917557	318
48.000000000047166	-2667.4705771044387	11637.428990936838	8969.958413832399	302.36789617249264	33.12450710161451	0.7921355171321455	318
49.00000000005194	-2978.773899939932	11571.988787189126	8593.214887249194	300.66760509035544	32.55878600610055	0.8058991682849725	318
50.000000000056716	-2692.3347184119057	11276.616197223775	8584.28147881187	292.9931274471923	33.24463789778738	0.7892731045336848	318
51.00000000006149	-2960.922462629482	11418.64114995487	8457.718687325389	296.68327122334284	33.21510709873125	0.789974829365735	318
